,dt,AverageTemperature,AverageTemperatureUncertainty,Country,Year
238,2009-11-01,8.583,0.219,Afghanistan,2009
239,2009-12-01,3.88,0.455,Afghanistan,2009
240,2010-01-01,4.292,0.314,Afghanistan,2010
241,2010-02-01,4.737,0.68,Afghanistan,2010
242,2010-03-01,12.901,0.274,Afghanistan,2010
243,2010-04-01,17.675,0.192,Afghanistan,2010
244,2010-05-01,22.099,0.296,Afghanistan,2010
245,2010-06-01,25.92,0.266,Afghanistan,2010
246,2010-07-01,27.81,0.229,Afghanistan,2010
247,2010-08-01,26.015,0.17,Afghanistan,2010
248,2010-09-01,20.482,0.305,Afghanistan,2010
249,2010-10-01,17.182000000000002,0.25,Afghanistan,2010
250,2010-11-01,8.232999999999999,0.317,Afghanistan,2010
251,2010-12-01,2.5980000000000003,0.188,Afghanistan,2010
252,2011-01-01,1.827,0.293,Afghanistan,2011
253,2011-02-01,3.077,0.425,Afghanistan,2011
254,2011-03-01,9.708,0.265,Afghanistan,2011
255,2011-04-01,16.476,0.277,Afghanistan,2011
256,2011-05-01,24.124,0.382,Afghanistan,2011
257,2011-06-01,27.823,0.341,Afghanistan,2011
258,2011-07-01,27.88000000000001,0.165,Afghanistan,2011
259,2011-08-01,27.497,0.373,Afghanistan,2011
260,2011-09-01,21.966,0.327,Afghanistan,2011
261,2011-10-01,15.572,0.214,Afghanistan,2011
262,2011-11-01,8.998,0.317,Afghanistan,2011
263,2011-12-01,1.2680000000000002,0.416,Afghanistan,2011
264,2012-01-01,-0.231,0.4320000000000001,Afghanistan,2012
265,2012-02-01,0.2349999999999999,0.378,Afghanistan,2012
266,2012-03-01,8.696000000000002,0.329,Afghanistan,2012
267,2012-04-01,16.32,0.385,Afghanistan,2012
268,2012-05-01,21.179,0.314,Afghanistan,2012
269,2012-06-01,25.267,0.429,Afghanistan,2012
270,2012-07-01,28.193,0.434,Afghanistan,2012
271,2012-08-01,26.549000000000003,0.328,Afghanistan,2012
272,2012-09-01,20.933000000000003,0.231,Afghanistan,2012
273,2012-10-01,15.031,0.36,Afghanistan,2012
274,2012-11-01,8.7,0.389,Afghanistan,2012
275,2012-12-01,2.907,0.377,Afghanistan,2012
276,2013-01-01,2.241,0.516,Afghanistan,2013
277,2013-02-01,4.253,0.955,Afghanistan,2013
278,2013-03-01,8.46,1.186,Afghanistan,2013
279,2013-04-01,14.845,0.398,Afghanistan,2013
280,2013-05-01,21.355,0.428,Afghanistan,2013
281,2013-06-01,26.879,0.43,Afghanistan,2013
282,2013-07-01,28.205,0.303,Afghanistan,2013
283,2013-08-01,26.031,0.347,Afghanistan,2013
284,2013-09-01,18.89903286384977,0.3216699362843729,Afghanistan,2013
285,1990-01-01,-5.759,0.457,Armenia,1990
286,1990-02-01,-2.251,0.406,Armenia,1990
287,1990-03-01,3.327,0.397,Armenia,1990
288,1990-04-01,8.035,0.23,Armenia,1990
289,1990-05-01,12.892,0.334,Armenia,1990
290,1990-06-01,18.526,0.18,Armenia,1990
291,1990-07-01,22.289,0.287,Armenia,1990
292,1990-08-01,20.586,0.374,Armenia,1990
293,1990-09-01,17.846,0.155,Armenia,1990
294,1990-10-01,10.49,0.308,Armenia,1990
295,1990-11-01,5.909,0.3670000000000001,Armenia,1990
296,1990-12-01,-0.7929999999999999,0.539,Armenia,1990
297,1991-01-01,-3.931000000000001,0.359,Armenia,1991
298,1991-02-01,-3.333,0.364,Armenia,1991
299,1991-03-01,3.087,0.232,Armenia,1991
300,1991-04-01,10.134,0.273,Armenia,1991
301,1991-05-01,12.569,0.321,Armenia,1991
302,1991-06-01,18.56,0.174,Armenia,1991
303,1991-07-01,22.221,0.334,Armenia,1991
304,1991-08-01,21.989,0.32,Armenia,1991
305,1991-09-01,17.204,0.213,Armenia,1991
306,1991-10-01,12.457,0.306,Armenia,1991
307,1991-11-01,4.279999999999999,0.171,Armenia,1991
308,1991-12-01,-2.766,0.21,Armenia,1991
309,1992-01-01,-6.466,0.598,Armenia,1992
310,1992-02-01,-4.557,0.282,Armenia,1992
311,1992-03-01,0.5670000000000002,0.5539999999999999,Armenia,1992
312,1992-04-01,7.548000000000001,0.463,Armenia,1992
313,1992-05-01,11.558,0.217,Armenia,1992
314,1992-06-01,16.660999999999998,0.348,Armenia,1992
315,1992-07-01,20.248,0.257,Armenia,1992
316,1992-08-01,19.728,0.304,Armenia,1992
317,1992-09-01,15.463,0.282,Armenia,1992
318,1992-10-01,10.527,0.259,Armenia,1992
319,1992-11-01,3.003,0.239,Armenia,1992
320,1992-12-01,-2.904,0.826,Armenia,1992
321,1993-01-01,-6.162999999999999,0.419,Armenia,1993
322,1993-02-01,-4.948,0.382,Armenia,1993
323,1993-03-01,1.4030000000000002,0.491,Armenia,1993
324,1993-04-01,7.803000000000001,0.341,Armenia,1993
325,1993-05-01,12.688,0.373,Armenia,1993
326,1993-06-01,17.237000000000002,0.293,Armenia,1993
327,1993-07-01,20.993,0.319,Armenia,1993
328,1993-08-01,20.745,0.261,Armenia,1993
329,1993-09-01,16.92,0.284,Armenia,1993
330,1993-10-01,9.836,0.391,Armenia,1993
331,1993-11-01,-0.6520000000000001,0.508,Armenia,1993
332,1993-12-01,-2.6260000000000003,0.662,Armenia,1993
333,1994-01-01,-2.333,0.411,Armenia,1994
334,1994-02-01,-3.802,0.33,Armenia,1994
335,1994-03-01,3.139,0.463,Armenia,1994
336,1994-04-01,10.733,0.469,Armenia,1994
337,1994-05-01,13.681,0.238,Armenia,1994
338,1994-06-01,17.285999999999998,0.313,Armenia,1994
339,1994-07-01,20.772,0.377,Armenia,1994
340,1994-08-01,20.847,0.3229999999999999,Armenia,1994
341,1994-09-01,17.586000000000002,0.238,Armenia,1994
342,1994-10-01,11.488,0.239,Armenia,1994
343,1994-11-01,4.198,0.361,Armenia,1994
344,1994-12-01,-5.34,0.55,Armenia,1994
345,1995-01-01,-2.2620000000000005,0.3,Armenia,1995
346,1995-02-01,-0.0509999999999997,0.281,Armenia,1995
347,1995-03-01,4.291,0.249,Armenia,1995
348,1995-04-01,9.518,0.4320000000000001,Armenia,1995
349,1995-05-01,15.072,0.287,Armenia,1995
350,1995-06-01,18.848,0.216,Armenia,1995
351,1995-07-01,21.485000000000007,0.235,Armenia,1995
352,1995-08-01,22.289,0.284,Armenia,1995
353,1995-09-01,17.346,0.276,Armenia,1995
354,1995-10-01,9.401,0.187,Armenia,1995
355,1995-11-01,4.79,0.333,Armenia,1995
356,1995-12-01,-2.021,0.373,Armenia,1995
357,1996-01-01,-3.3870000000000005,0.44,Armenia,1996
358,1996-02-01,-0.9859999999999998,0.314,Armenia,1996
359,1996-03-01,2.4360000000000004,0.387,Armenia,1996
360,1996-04-01,7.574000000000002,0.332,Armenia,1996
361,1996-05-01,15.592,0.193,Armenia,1996
362,1996-06-01,17.41,0.205,Armenia,1996
363,1996-07-01,22.685,0.129,Armenia,1996
364,1996-08-01,22.156,0.115,Armenia,1996
365,1996-09-01,17.061,0.338,Armenia,1996
366,1996-10-01,10.59,0.2,Armenia,1996
367,1996-11-01,4.157,0.348,Armenia,1996
368,1996-12-01,2.542,0.501,Armenia,1996
369,1997-01-01,-1.6880000000000006,0.7440000000000001,Armenia,1997
370,1997-02-01,-3.222,0.615,Armenia,1997
371,1997-03-01,0.3940000000000001,0.516,Armenia,1997
372,1997-04-01,8.529000000000002,0.166,Armenia,1997
373,1997-05-01,14.708,0.266,Armenia,1997
374,1997-06-01,18.688,0.189,Armenia,1997
375,1997-07-01,21.112,0.198,Armenia,1997
376,1997-08-01,22.467,0.347,Armenia,1997
377,1997-09-01,14.673000000000002,0.318,Armenia,1997
378,1997-10-01,12.218,0.297,Armenia,1997
379,1997-11-01,4.081,0.282,Armenia,1997
380,1997-12-01,-1.004,0.715,Armenia,1997
381,1998-01-01,-4.195,0.298,Armenia,1998
382,1998-02-01,-3.482,0.456,Armenia,1998
383,1998-03-01,3.502,0.467,Armenia,1998
384,1998-04-01,11.156,0.5479999999999999,Armenia,1998
385,1998-05-01,14.729,0.28,Armenia,1998
386,1998-06-01,20.925,0.319,Armenia,1998
387,1998-07-01,22.355,0.109,Armenia,1998
388,1998-08-01,22.832,0.244,Armenia,1998
389,1998-09-01,17.445,0.155,Armenia,1998
390,1998-10-01,11.965,0.1689999999999999,Armenia,1998
391,1998-11-01,6.811,0.275,Armenia,1998
392,1998-12-01,1.338,0.358,Armenia,1998
393,1999-01-01,-0.9980000000000008,0.375,Armenia,1999
394,1999-02-01,1.7319999999999998,0.509,Armenia,1999
395,1999-03-01,4.37,0.202,Armenia,1999
396,1999-04-01,9.158,0.356,Armenia,1999
397,1999-05-01,13.37,0.475,Armenia,1999
398,1999-06-01,18.673,0.321,Armenia,1999
399,1999-07-01,22.071,0.264,Armenia,1999
400,1999-08-01,23.763,0.449,Armenia,1999
401,1999-09-01,16.634,0.275,Armenia,1999
402,1999-10-01,11.198,0.206,Armenia,1999
403,1999-11-01,3.432,0.114,Armenia,1999
404,1999-12-01,0.5690000000000002,0.509,Armenia,1999
405,2000-01-01,-3.5820000000000003,0.487,Armenia,2000
406,2000-02-01,-1.889,0.687,Armenia,2000
407,2000-03-01,1.8640000000000003,0.655,Armenia,2000
408,2000-04-01,11.824000000000002,0.351,Armenia,2000
409,2000-05-01,13.528,0.13,Armenia,2000
410,2000-06-01,18.803,0.353,Armenia,2000
411,2000-07-01,24.66200000000001,0.306,Armenia,2000
412,2000-08-01,22.85,0.335,Armenia,2000
413,2000-09-01,17.865000000000006,0.297,Armenia,2000
414,2000-10-01,9.506,0.29,Armenia,2000
415,2000-11-01,3.807,0.197,Armenia,2000
416,2000-12-01,-0.2200000000000002,0.265,Armenia,2000
417,2001-01-01,-3.1990000000000003,0.273,Armenia,2001
418,2001-02-01,0.5950000000000002,0.491,Armenia,2001
419,2001-03-01,7.064,0.561,Armenia,2001
420,2001-04-01,10.455000000000002,0.449,Armenia,2001
421,2001-05-01,13.265,0.298,Armenia,2001
422,2001-06-01,19.47,0.387,Armenia,2001
423,2001-07-01,22.697000000000006,0.38,Armenia,2001
424,2001-08-01,22.932,0.141,Armenia,2001
425,2001-09-01,18.376,0.295,Armenia,2001
426,2001-10-01,10.086,0.188,Armenia,2001
427,2001-11-01,3.621,0.535,Armenia,2001
428,2001-12-01,-0.0410000000000001,0.452,Armenia,2001
429,2002-01-01,-4.2010000000000005,0.7020000000000001,Armenia,2002
430,2002-02-01,1.3119999999999998,0.637,Armenia,2002
431,2002-03-01,5.69,0.4320000000000001,Armenia,2002
432,2002-04-01,7.483,0.349,Armenia,2002
433,2002-05-01,12.443,0.19,Armenia,2002
434,2002-06-01,18.037,0.297,Armenia,2002
435,2002-07-01,22.214,0.382,Armenia,2002
436,2002-08-01,21.306,0.223,Armenia,2002
437,2002-09-01,18.923,0.4,Armenia,2002
438,2002-10-01,12.422,0.409,Armenia,2002
439,2002-11-01,5.593,0.394,Armenia,2002
440,2002-12-01,-5.9620000000000015,0.86,Armenia,2002
441,2003-01-01,-2.205,0.552,Armenia,2003
442,2003-02-01,-1.5699999999999998,0.269,Armenia,2003
443,2003-03-01,0.3290000000000002,0.268,Armenia,2003
444,2003-04-01,7.484000000000001,0.439,Armenia,2003
445,2003-05-01,14.823,0.283,Armenia,2003
446,2003-06-01,17.401999999999994,0.168,Armenia,2003
447,2003-07-01,21.494,0.254,Armenia,2003
448,2003-08-01,22.565,0.411,Armenia,2003
449,2003-09-01,16.768,0.287,Armenia,2003
450,2003-10-01,12.894,0.457,Armenia,2003
451,2003-11-01,4.084,0.165,Armenia,2003
452,2003-12-01,-0.991,0.33,Armenia,2003
453,2004-01-01,-1.7990000000000004,0.349,Armenia,2004
454,2004-02-01,0.0340000000000002,0.426,Armenia,2004
455,2004-03-01,5.166,0.346,Armenia,2004
456,2004-04-01,7.944000000000001,0.296,Armenia,2004
457,2004-05-01,13.577,0.291,Armenia,2004
458,2004-06-01,18.645,0.302,Armenia,2004
459,2004-07-01,20.798,0.195,Armenia,2004
460,2004-08-01,23.012,0.287,Armenia,2004
461,2004-09-01,17.632,0.228,Armenia,2004
462,2004-10-01,11.433,0.234,Armenia,2004
463,2004-11-01,4.542999999999998,0.417,Armenia,2004
464,2004-12-01,-4.343,0.667,Armenia,2004
465,2005-01-01,-4.206,0.3670000000000001,Armenia,2005
466,2005-02-01,-3.321,0.319,Armenia,2005
467,2005-03-01,2.7880000000000003,0.284,Armenia,2005
468,2005-04-01,10.032,0.569,Armenia,2005
469,2005-05-01,14.285,0.31,Armenia,2005
470,2005-06-01,17.723,0.261,Armenia,2005
471,2005-07-01,23.47600000000001,0.481,Armenia,2005
472,2005-08-01,22.649,0.433,Armenia,2005
473,2005-09-01,17.586000000000002,0.376,Armenia,2005
474,2005-10-01,10.424,0.259,Armenia,2005
475,2005-11-01,4.515,0.369,Armenia,2005
476,2005-12-01,0.8739999999999999,0.361,Armenia,2005
477,2006-01-01,-5.34,0.44,Armenia,2006
478,2006-02-01,-1.6929999999999998,0.49,Armenia,2006
479,2006-03-01,4.863,0.338,Armenia,2006
480,2006-04-01,9.841,0.298,Armenia,2006
481,2006-05-01,14.616,0.293,Armenia,2006
482,2006-06-01,21.928,0.217,Armenia,2006
483,2006-07-01,21.551,0.256,Armenia,2006
